rank,stadium,capacity,region,country,city,images,home_team
276,Estadio,"45,000",South,Paraguay,Asunción,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Estadio_General_Pablo_Rojas.jpg/150px-Estadio_General_Pablo_Rojas.jpg,Club
277,Stade,"45,000",Africa,Morocco,Casablanca,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Stade_Mohamed_V%2C_Casablanca.jpg/150px-Stade_Mohamed_V%2C_Casablanca.jpg,"Wydad,"
278,Latakia,"45,000",West,Syria,Latakia,NO_IMAGE,Text esta vazio
279,Zibo,"45,000",East,China,"Zibo,",NO_IMAGE,Text esta vazio
280,Weifang,"45,000",East,China,"Weifang,",NO_IMAGE,Text esta vazio
281,Yantai,"45,000",East,China,"Yantai,",NO_IMAGE,Text esta vazio
282,Stadium,"45,000",Southeast,Malaysia,Seremban,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Stadium_Tuanku_Abdul_Rahman%2C_Paroi.jpg/150px-Stadium_Tuanku_Abdul_Rahman%2C_Paroi.jpg,ATM
283,Stade,"45,000",Africa,Morocco,Fes,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Complexe_sportif_de_F%C3%A8s.jpg/150px-Complexe_sportif_de_F%C3%A8s.jpg,Wydad
284,Lagos,"45,000",Africa,Nigeria,Lagos,NO_IMAGE,Nigeria
285,Egyptian,"45,000",Africa,Egypt,Suez,NO_IMAGE,Text esta vazio
286,Toyota,"45,000",East,Japan,Toyota,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/JPNxGEO20180623_%283%29.jpg/150px-JPNxGEO20180623_%283%29.jpg,Nagoya
287,Zayed,"45,000",West,United,Abu,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Abu_Dhabi_Zayed_Sports_City_Stadium_2.jpg/150px-Abu_Dhabi_Zayed_Sports_City_Stadium_2.jpg,Text esta vazio
288,Red,"44,345",Europe,Germany,Leipzig,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Leipzig_stadium.jpg/150px-Leipzig_stadium.jpg,RB
289,Estádio,"44,200",South,Brazil,Teresina,NO_IMAGE,River
290,Estádio,"44,200",South,Brazil,Campo,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/0253l.jpg/150px-0253l.jpg,EC
291,Ulsan,"44,102",East,South,Ulsan,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Munsu_20121110_204310_5.jpg/150px-Munsu_20121110_204310_5.jpg,Ulsan
292,Arena,"44,097",South,Brazil,"Cuiabá,",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Arena_Pantanal.jpg/150px-Arena_Pantanal.jpg,"Cuiabá,"
293,Arena,"44,000",South,Brazil,"Manaus,",https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Arena_Amaz%C3%B4nia_Manaus.jpg/150px-Arena_Amaz%C3%B4nia_Manaus.jpg,Nacional
294,Suwon,"43,959",East,South,Suwon,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/20121003_Suwon_vs_Seoul.jpg/150px-20121003_Suwon_vs_Seoul.jpg,Suwon
295,Stadion,"43,923",Southeast,Indonesia,"Pekanbaru,",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Riau_Main_Stadium_%28cropped%29.JPG/150px-Riau_Main_Stadium_%28cropped%29.JPG,PSPS
296,Allianz,"43,713",South,Brazil,São,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Imagens_da_Cidade_de_S%C3%A3o_Paulo_e_Zool%C3%B3gico_da_Capital_Paulista._%2847480340301%29.jpg/150px-Imagens_da_Cidade_de_S%C3%A3o_Paulo_e_Zool%C3%B3gico_da_Capital_Paulista._%2847480340301%29.jpg,SE
297,Shandong,"43,700",East,China,"Jinan,",https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/SHANGDONGSPORTS.jpg/150px-SHANGDONGSPORTS.jpg,Text esta vazio
298,Polsat,"43,615",Europe,Poland,Gdańsk,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Gda%C5%84sk%2C_Stadion_PGE_Arena_-_fotopolska.eu_%28326975%29.jpg/150px-Gda%C5%84sk%2C_Stadion_PGE_Arena_-_fotopolska.eu_%28326975%29.jpg,Lechia
299,Estadio,"43,494",South,Argentina,Buenos,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Platea_Este_Nuevo_Gasometro_1.jpg/150px-Platea_Este_Nuevo_Gasometro_1.jpg,CA
300,Stadion,"43,269",Europe,Poland,Poznań,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Stadion_Miejski_w_Poznaniu_2013_panorama.jpg/150px-Stadion_Miejski_w_Poznaniu_2013_panorama.jpg,Lech
301,Vasil,"43,230",Europe,Bulgaria,Sofia,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Vasil_Levski_National_Stadium_2022.jpg/150px-Vasil_Levski_National_Stadium_2022.jpg,Bulgaria
302,Estadio,"43,000",South,Peru,Lima,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Vista_estadios_san_marcos.jpg/150px-Vista_estadios_san_marcos.jpg,Deportivo
303,Ullevi,"43,000",Europe,Sweden,Gothenburg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Ullevi_stadium%2C_23_june_2018.png/150px-Ullevi_stadium%2C_23_june_2018.png,Sweden
304,Jinzhou,"43,000",East,China,Jinzhou,NO_IMAGE,Text esta vazio
305,Estadio,"42,901",South,Colombia,Cúcuta,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Cucuta704.jpg/150px-Cucuta704.jpg,Cúcuta
306,Villa,"42,682",Europe,England,"Birmingham,",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Villa_Stadion_panorama_2016.jpg/150px-Villa_Stadion_panorama_2016.jpg,Aston
307,Perak,"42,500",Southeast,Malaysia,Perak,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Perak_Stadium.JPG/150px-Perak_Stadium.JPG,Perak
308,Jeonju,"42,477",East,South,Jeonju,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/%EC%A0%84%EC%A3%BC%EC%9B%94%EB%93%9C%EC%BB%B5%EA%B2%BD%EA%B8%B0%EC%9E%A5.jpg/150px-%EC%A0%84%EC%A3%BC%EC%9B%94%EB%93%9C%EC%BB%B5%EA%B2%BD%EA%B8%B0%EC%9E%A5.jpg,Jeonbuk
309,Ligga,"42,372",South,Brazil,"Curitiba,",https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Arenadabaixada2.jpg/150px-Arenadabaixada2.jpg,Athletico
310,Weserstadion,"42,358",Europe,Germany,Bremen,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Weserstadion_panorama.JPG/150px-Weserstadion_panorama.JPG,SV
311,Denka,"42,300",East,Japan,"Niigata,",https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Bigswan080628.JPG/150px-Bigswan080628.JPG,Albirex
312,Estadio,"42,200",South,Venezuela,Mérida,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Metropolitanodemeridacopamerica.jpg/150px-Metropolitanodemeridacopamerica.jpg,Estudiantes
313,Daejeon,"42,176",East,South,Daejeon,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Daejeon_World_Cup_Stadium.JPG/150px-Daejeon_World_Cup_Stadium.JPG,Daejeon
314,Matmut,"42,115",Europe,France,Bordeaux,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/500px_photo_%28165733217%29.jpeg/150px-500px_photo_%28165733217%29.jpeg,FC
315,Helsingin,"42,062",Europe,Finland,Helsinki,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Olympiastadion_2_2020-08-12.jpg/150px-Olympiastadion_2_2020-08-12.jpg,Finland
316,Estádio,"42,000",South,Brazil,"Goiânia,",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Serra_Dourada_Lotado.jpg/150px-Serra_Dourada_Lotado.jpg,Goiás
317,Estadio,"42,000",South,Colombia,Cali,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/SportingCali12.png/150px-SportingCali12.png,Deportivo
318,Estadio,"42,000",South,Ecuador,Guayaquil,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Estadio_Modelo_Lleno_2007_-_panoramio.jpg/150px-Estadio_Modelo_Lleno_2007_-_panoramio.jpg,Club
319,Estádio,"42,000",Africa,Mozambique,Maputo,NO_IMAGE,Mozambique
320,Chengdu,"42,000",East,China,"Chengdu,",https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Chengdu_Sports_Center.JPG/150px-Chengdu_Sports_Center.JPG,Text esta vazio
321,Royal,"42,000",Africa,South,"Phokeng,",https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Royal_Bafokeng_Stadium%2C_Phokeng.jpg/150px-Royal_Bafokeng_Stadium%2C_Phokeng.jpg,Text esta vazio
322,Estadio,"42,000",North,Mexico,San,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Estadio_Universitario_Concachampions.jpg/150px-Estadio_Universitario_Concachampions.jpg,Tigres
323,Estadio,"42,000",South,Argentina,Santa,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Estadio_Brigadier_General_Estanislao_L%C3%B3pez_-_Col%C3%B3n_de_Santa_Fe.jpg/150px-Estadio_Brigadier_General_Estanislao_L%C3%B3pez_-_Col%C3%B3n_de_Santa_Fe.jpg,Club
324,Estadio,"42,000",South,Argentina,Rosario,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Estadio_Marcelo_Bielsa.jpg/150px-Estadio_Marcelo_Bielsa.jpg,Newell's
325,Stade,"41,965",Europe,France,Saint-Étienne,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/St_Etienne_Stade_Geoffroy_Guichard.jpg/150px-St_Etienne_Stade_Geoffroy_Guichard.jpg,AS
326,Vodafone,"41,903",Europe,Turkey,Istanbul,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Vodafone_Park_Panorama.jpg/150px-Vodafone_Park_Panorama.jpg,Beşiktaş
327,Peter,"41,733",Africa,South,Polokwane,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Teams_are_warming_up_%284738980575%29.jpg/150px-Teams_are_warming_up_%284738980575%29.jpg,Polokwane
328,Estadio,"41,654",South,Argentina,Rosario,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Estadio_Gigante_de_Arroyito.jpg/150px-Estadio_Gigante_de_Arroyito.jpg,Rosario
329,Estadio,"41,600",South,Venezuela,Ciudad,https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/CTE_Chamay_Aereo_Cut.jpg/150px-CTE_Chamay_Aereo_Cut.jpg,Atlético
330,Estadio,"41,596",South,Ecuador,Quito,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Cl%C3%A1sico_Liga_de_Quito-Barcelona_de_Guayaquil.JPG/150px-Cl%C3%A1sico_Liga_de_Quito-Barcelona_de_Guayaquil.JPG,LDU
331,Allianz,"41,507",Europe,Italy,"Turin,",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Juventus_Stadium_in_Turin_-_Champions_League_2013-14_-_Juventus_v_Real_Madrid.jpg/150px-Juventus_Stadium_in_Turin_-_Champions_League_2013-14_-_Juventus_v_Real_Madrid.jpg,Juventus
332,Sapporo,"41,484",East,Japan,"Sapporo,",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Sapporo_Dome_001.jpeg/150px-Sapporo_Dome_001.jpeg,Hokkaido
333,Stamford,"41,663",Europe,England,London,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Stamford_Bridge%2C_Chelsea_vs_Nottingham_Forest%2C_5_January_2020.jpg/150px-Stamford_Bridge%2C_Chelsea_vs_Nottingham_Forest%2C_5_January_2020.jpg,Chelsea
334,Goyang,"41,311",East,South,Goyang,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Goyang_sta_1.JPG/150px-Goyang_sta_1.JPG,Text esta vazio
335,Estadio,"41,143",South,Bolivia,La,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Hernando_Siles_Stadium_-_La_Paz.jpg/150px-Hernando_Siles_Stadium_-_La_Paz.jpg,La
336,Bingu,"41,100",Africa,Malawi,Lilongwe,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/BINGU_NATIONAL_STADIUM.jpg/150px-BINGU_NATIONAL_STADIUM.jpg,"Flames,"
337,Mbombela,"40,929",Africa,South,"Nelspruit,",https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Mbombela_Stadium_arena.jpg/150px-Mbombela_Stadium_arena.jpg,Text esta vazio
338,Estadio,"40,800",South,Venezuela,Maracaibo,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/JPPachenchoRomero-16.jpg/150px-JPPachenchoRomero-16.jpg,Deportivo
339,Stade,"40,784",Africa,Algeria,Algiers,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Nelson_Mandela_Stadium.jpg/150px-Nelson_Mandela_Stadium.jpg,Algeria
340,Kashima,"40,728",East,Japan,"Kashima,",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Kashima_Soccer_Stadium_5.jpg/150px-Kashima_Soccer_Stadium_5.jpg,Kashima
341,Baba,"40,528",Africa,Ghana,Kumasi,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Kumasi924.JPG/150px-Kumasi924.JPG,Asante
342,Estádio,"40,502",South,Brazil,"Curitiba,",https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Est%C3%A1dio_Couto_Pereira.jpg/150px-Est%C3%A1dio_Couto_Pereira.jpg,Coritiba
343,Stage,"40,500",Europe,Spain,Barcelona,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Estadicornellaelprat_1.jpg/150px-Estadicornellaelprat_1.jpg,RCD
344,Estadio,"40,312",South,Venezuela,Barquisimeto,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Estadio_Metropolitano_de_Lara.jpg/150px-Estadio_Metropolitano_de_Lara.jpg,Unión
345,Estadio,"40,268",South,Argentina,Mendoza,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Estadio_Malvinas_Argentinas_2012.jpg/150px-Estadio_Malvinas_Argentinas_2012.jpg,Godoy
346,Stadion,"40,263",Southeast,Indonesia,Nolokla,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Lukas_Enembe_Stadium.jpg/150px-Lukas_Enembe_Stadium.jpg,Persipura
347,Gwangju,"40,245",East,South,Gwangju,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Gwangju_World_Cup_Stadium.jpg/150px-Gwangju_World_Cup_Stadium.jpg,Gwangju
348,Sân,"40,192",Southeast,Vietnam,Hanoi,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Kh%C3%A1n_%C4%91%C3%A0i_B_-_S%C3%A2n_v%E1%BA%ADn_%C4%91%E1%BB%99ng_Qu%E1%BB%91c_gia_M%E1%BB%B9_%C4%90%C3%ACnh.jpg/150px-Kh%C3%A1n_%C4%91%C3%A0i_B_-_S%C3%A2n_v%E1%BA%ADn_%C4%91%E1%BB%99ng_Qu%E1%BB%91c_gia_M%E1%BB%B9_%C4%90%C3%ACnh.jpg,Vietnam
349,Goodison,"40,157",Europe,England,"Liverpool,",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Goodison_Park_August_2022.jpg/150px-Goodison_Park_August_2022.jpg,Everton
350,Estádio,"40,149",South,Brazil,São,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Est%C3%A1dio_Castel%C3%A3o_em_S%C3%A3o_Lu%C3%ADs%2C_Maranh%C3%A3o%2C_Brasil.jpg/150px-Est%C3%A1dio_Castel%C3%A3o_em_S%C3%A3o_Lu%C3%ADs%2C_Maranh%C3%A3o%2C_Brasil.jpg,Sampaio
351,Stade,"40,143",Africa,Algeria,Oran,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Stade_de_Oran.jpg/150px-Stade_de_Oran.jpg,Algeria
352,Estadio,"40,005",South,Uruguay,Montevideo,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Estadio_Campe%C3%B3n_del_Siglo_setiembre_2021.jpg/150px-Estadio_Campe%C3%B3n_del_Siglo_setiembre_2021.jpg,Club
353,Metalist,"40,003",Europe,Ukraine,Kharkiv,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Metalist_Stadium_Kharkiv.jpg/150px-Metalist_Stadium_Kharkiv.jpg,FC
354,Al-Janoub,"40,000",West,Qatar,Al-Wakrah,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Visita_ao_est%C3%A1dio_de_futebol_Al_Janoub_1.jpg/150px-Visita_ao_est%C3%A1dio_de_futebol_Al_Janoub_1.jpg,Text esta vazio
355,Al-Thumama,"40,000",West,Qatar,Al-Thumama,https://upload.wikimedia.org/wikipedia/en/thumb/d/d6/Al_Thumama_Stadium_%282%29.jpg/150px-Al_Thumama_Stadium_%282%29.jpg,Text esta vazio
356,Stade,"40,000",Africa,Algeria,Oran,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Stade_Ahmed_Zabana_2.jpg/150px-Stade_Ahmed_Zabana_2.jpg,MC
357,Stadion,"40,000",Southeast,Indonesia,"Balikpapan,",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/2017-11-14_Batakan.jpg/150px-2017-11-14_Batakan.jpg,Persiba
358,Stadion,"40,000",Southeast,Indonesia,"Gresik,",https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Gelora_Joko_Samudro_Stadium_%282016%29.jpg/150px-Gelora_Joko_Samudro_Stadium_%282016%29.jpg,Gresik
359,Fisht,"40,000",Europe,Russia,Sochi,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/2017_Confederation_Cup_-_MEXNZL_-_Fisht.jpg/150px-2017_Confederation_Cup_-_MEXNZL_-_Fisht.jpg,Text esta vazio
360,Rentschler,"40,000",North,United,East,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Rentschler_Field_2017.jpg/150px-Rentschler_Field_2017.jpg,Text esta vazio
361,Jawaharlal,"40,000",South,India,Kochi,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Jawaharlal_Nehru_Stadium_%28Kochi%29_in_2022.jpg/150px-Jawaharlal_Nehru_Stadium_%28Kochi%29_in_2022.jpg,Kerala
362,Hang,"40,000",Southeast,Malaysia,Malacca,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Stadium_Hang_Jebat_015342.jpg/150px-Stadium_Hang_Jebat_015342.jpg,Melaka
363,Hong,"40,000",East,Hong,So,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Hong_Kong_Stadium-1.jpg/150px-Hong_Kong_Stadium-1.jpg,South
364,Stadium,"40,000",Southeast,Malaysia,Batu,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Batu_Kawan_Stadium%2CPenang.jpg/150px-Batu_Kawan_Stadium%2CPenang.jpg,Penang
365,Accra,"40,000",Africa,Ghana,Accra,NO_IMAGE,Accra
366,Sarawak,"40,000",Southeast,Malaysia,Kuching,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Stadium_Sarawak.JPG/150px-Stadium_Sarawak.JPG,Sarawak
367,Bogyoke,"40,000",Southeast,Myanmar,Yangon,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Aungsan_Stadium.jpg/150px-Aungsan_Stadium.jpg,Yangon
368,Resonac,"40,000",East,Japan,Ōita,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/%C5%8Cita_Stadium_2023-03.jpg/150px-%C5%8Cita_Stadium_2023-03.jpg,Ōita
369,Stadium,"40,000",Southeast,Malaysia,Kuantan,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Stadium_Pahang.jpg/150px-Stadium_Pahang.jpg,Pahang
370,Khalifa,"40,000",West,Qatar,Doha,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Khalifa_International_Stadium.jpg/150px-Khalifa_International_Stadium.jpg,Qatar
371,Stade,"40,000",Africa,Gabon,Libreville,NO_IMAGE,Gabon
372,Peoples,"40,000",South,Pakistan,Karachi,NO_IMAGE,Pakistan
373,JRD,"40,000",South,India,Jamshedpur,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/J.R.D._Tata_Stadium.jpg/150px-J.R.D._Tata_Stadium.jpg,Jamshedpur
374,Bao'an,"40,000",East,China,"Shenzhen,",https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Bao%27an_Stadium.jpg/150px-Bao%27an_Stadium.jpg,Text esta vazio
375,Kunming,"40,000",East,China,"Kunming,",https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Kunming_07.JPG/150px-Kunming_07.JPG,China
376,Taizhou,"40,000",East,China,"Taizhou,",NO_IMAGE,Text esta vazio
377,Wuhu,"40,000",East,China,"Wuhu,",NO_IMAGE,Text esta vazio
378,Huizhou,"40,000",East,China,"Huizhou,",NO_IMAGE,Text esta vazio
